Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\4CEB8FB01BD3AD8A,0:1632868,2016-12-13 12:26:59-540,2016-12-13 12:27:00-565
Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-13 12:27:00-689,2016-12-13 12:27:00-788
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\534F189F2DD76632,0:1072358,2016-12-13 12:27:00-870,2016-12-13 12:27:01-287
Success : SEQ_READ : test1\c5a5e5562b038073\767c14c8beb1e835,0:3818496,2016-12-13 12:27:01-397,2016-12-13 12:27:01-756
Success : LS : test1\f71b43c3136efa4f\83404ffd78f534ff\,0:-1,2016-12-13 12:27:01-881,2016-12-13 12:27:01-979
Success : LS : test1\f71b43c3136efa4f\,0:-1,2016-12-13 12:27:02-087,2016-12-13 12:27:02-156
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-13 12:27:02-283,2016-12-13 12:27:02-394
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-13 12:27:02-521,2016-12-13 12:27:02-629
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\268DF3B27EEA11B5,0:2408371,2016-12-13 12:27:02-743,2016-12-13 12:27:04-621
Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-13 12:27:04-743,2016-12-13 12:27:04-833
