Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:44:36-155,2016-12-12 11:44:36-242
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:44:36-341,2016-12-12 11:44:36-454
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\2A067EF52E25048C,0:1457861,2016-12-12 11:44:36-572,2016-12-12 11:44:39-069
Success : SEQ_READ : test2\bc9c8ba7ff351f3e,1372:216412,2016-12-12 11:44:39-193,2016-12-12 11:44:39-269
Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-12 11:44:39-350,2016-12-12 11:44:39-451
Success : SEQ_READ : test1\c5a5e5562b038073\738537f9a40e568b,145:10385,2016-12-12 11:44:39-541,2016-12-12 11:44:39-601
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:44:39-721,2016-12-12 11:44:39-835
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:44:39-959,2016-12-12 11:44:40-053
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\535338564990483D,0:709156,2016-12-12 11:44:40-134,2016-12-12 11:44:41-008
Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-12 11:44:41-129,2016-12-12 11:44:41-209
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\65244CD316CAC624,0:1945369,2016-12-12 11:44:41-328,2016-12-12 11:44:43-275
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:44:43-386,2016-12-12 11:44:43-476
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\7BDC5AC010AB249C,0:937557,2016-12-12 11:44:43-566,2016-12-12 11:44:44-200
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:44:44-324,2016-12-12 11:44:44-419
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:44:44-505,2016-12-12 11:44:44-594
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\0D598DCE1F90FACC,0:1436007,2016-12-12 11:44:44-723,2016-12-12 11:44:46-329
Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-12 11:44:46-418,2016-12-12 11:44:46-490
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\03B84C6D58FEC041,0:2052476,2016-12-12 11:44:46-614,2016-12-12 11:44:48-597
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:44:48-722,2016-12-12 11:44:48-816
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\029B6E0601803E8C,0:1173601,2016-12-12 11:44:48-921,2016-12-12 11:44:49-790
Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-12 11:44:49-914,2016-12-12 11:44:50-011
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\67C8B47E6A4BFBF2,0:2574712,2016-12-12 11:44:50-135,2016-12-12 11:44:52-702
Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-12 11:44:52-824,2016-12-12 11:44:52-907
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\7303E70F0B65CFD6,0:909014,2016-12-12 11:44:53-017,2016-12-12 11:44:54-030
Success : LS : test1\f71b43c3136efa4f\52481749c0cdecd6\,0:-1,2016-12-12 11:44:54-203,2016-12-12 11:44:54-315
Success : RANDOM_READ : test1\c5a5e5562b038073\a39ea9c72a98de10\f398de59988a85e5,460:5580,2016-12-12 11:44:54-411,2016-12-12 11:44:54-476
Success : SEQ_READ : test1\c5a5e5562b038073\05d1f0ed74e78555,31410:46770,2016-12-12 11:44:54-552,2016-12-12 11:44:54-639
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:44:54-729,2016-12-12 11:44:54-812
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\16F1419069575895,0:4074630,2016-12-12 11:44:54-901,2016-12-12 11:44:59-057
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:44:59-186,2016-12-12 11:44:59-306
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\2E6D36B546EC583A,0:2636442,2016-12-12 11:44:59-431,2016-12-12 11:45:01-834
Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-12 11:45:01-942,2016-12-12 11:45:02-021
